,carat,cut,color,clarity,depth,table,x,y,z,price
10176,1.1,Ideal,H,SI2,62.0,55.0,6.61,6.65,4.11,4733
16083,1.29,Ideal,H,SI1,62.6,56.0,6.96,6.93,4.35,6424
13420,1.2,Premium,I,SI1,61.1,58.0,6.88,6.8,4.18,5510
20407,1.5,Ideal,F,SI1,60.9,56.0,7.43,7.36,4.5,8770
8909,0.9,Very Good,F,VS2,61.7,57.0,6.17,6.21,3.82,4493
35890,0.32,Ideal,G,IF,61.7,54.0,4.39,4.42,2.72,918
32334,0.3,Very Good,H,IF,62.9,58.0,4.26,4.29,2.69,789
513,0.61,Ideal,E,VVS2,61.3,54.0,5.51,5.59,3.4,2823
27680,2.01,Premium,G,SI2,61.2,57.2,8.08,8.14,4.97,18705
43597,0.31,Ideal,I,VS1,61.2,55.0,4.37,4.39,2.68,507
47609,0.64,Ideal,H,SI1,61.7,55.0,5.54,5.57,3.43,1880
36246,0.41,Ideal,E,VS2,61.6,55.0,4.75,4.79,2.94,935
47546,0.52,Ideal,F,VS1,62.0,57.0,5.16,5.13,3.19,1872
36801,0.3,Premium,G,IF,61.0,62.0,4.34,4.32,2.64,956
2083,1.01,Good,H,SI2,64.1,56.0,6.37,6.3,4.06,3111
26668,2.01,Premium,I,SI1,61.5,60.0,8.12,8.01,4.96,16499
36732,0.32,Ideal,G,IF,60.5,57.0,4.42,4.44,2.68,954
19772,1.51,Ideal,I,SI1,61.1,59.0,7.4,7.37,4.51,8342
20297,2.5,Fair,G,I1,65.1,59.0,8.55,8.39,5.53,8711
52785,0.7,Ideal,G,SI1,61.9,58.0,5.66,5.69,3.51,2567
411,0.34,Ideal,I,VS1,62.0,56.0,4.5,4.53,2.8,555
27597,1.7,Ideal,G,VVS1,61.0,56.0,7.67,7.62,4.66,18445
19937,1.2,Ideal,F,VS2,62.3,55.0,6.83,6.79,4.24,8486
37486,0.35,Premium,E,VS2,62.1,59.0,4.49,4.46,2.78,984
34299,0.36,Very Good,G,VVS2,59.5,56.0,4.68,4.73,2.8,858
49118,0.56,Ideal,G,VVS2,61.6,55.0,5.32,5.35,3.28,2066
33940,0.27,Ideal,H,VS1,62.3,56.0,4.15,4.17,2.59,464
38915,0.33,Ideal,G,IF,61.7,55.0,4.47,4.45,2.75,1052
30528,0.38,Very Good,D,SI1,59.7,60.0,4.66,4.69,2.79,733
39240,0.5,Very Good,H,SI1,62.9,58.0,5.01,5.04,3.16,1068
13228,1.21,Premium,H,VS2,60.8,62.0,6.82,6.78,4.13,5461
40260,0.33,Premium,G,SI1,62.3,59.0,4.39,4.44,2.75,492
29234,0.31,Ideal,D,VS1,61.6,54.0,4.33,4.37,2.68,696
48104,0.5,Premium,G,VVS2,61.6,60.0,5.13,5.1,3.15,1935
47026,0.52,Premium,E,VS1,61.7,58.0,5.17,5.11,3.17,1819
40398,0.38,Ideal,E,VS1,62.2,54.1,4.63,4.65,2.89,1133
23510,1.7,Premium,I,VS2,60.7,59.0,7.63,7.7,4.65,11519
